example_id,category,prompt,ai_generated_content,evaluation_criteria,score_clarity,score_engagement,score_accuracy,score_instruction_following,total_score,strengths,weaknesses,improvement_suggestions,final_verdict,evaluator_confidence,error_type,output_quality_verdict,hallucination_detected,response_word_count
HK-001,Hook Evaluation,Write a YouTube hook about a pilot who landed a plane in an impossible situation.,"Nobody believed this pilot could land the aircraft... but he did it anyway, and the cockpit recordings tell a story no one expected.","Curiosity, Clarity, Retention potential, Click-through potential",8,9,7,9,33,"The hook opens with a strong contradiction that pulls the viewer in. The mention of cockpit recordings gives it a documentary feel, which adds credibility and makes the payoff feel real.",The phrase 'a story no one expected' is vague. It tells the viewer there is a surprise without giving any hint of what makes it worth watching.,Replace the trailing clause with something specific. For example: 'the cockpit recordings show he was never supposed to survive.' Specificity is what turns a decent hook into a great one.,Good hook with a clear tension setup. A sharper ending would push this into top-tier territory.,High,Missing Context,Conditional Pass,No,23
HK-002,Hook Evaluation,Write a YouTube hook about a military weapon that cost billions to develop.,The military spent billions developing this weapon... and then quietly shelved it forever.,"Curiosity, Clarity, Retention potential, Click-through potential",9,8,6,9,32,Tight and punchy. The contrast between the cost and the outcome ('quietly shelved') creates instant curiosity. Works well for short-form and long-form alike.,"No context is given about what type of weapon or why it was shelved. For viewers who are not already interested in military content, there is not quite enough to hook them.","Add a single detail to give it weight. Something like: 'The military spent $40 billion developing this stealth jet, then quietly shelved it forever.' Numbers make the stakes feel real.",Solid hook that will perform well with military content audiences. Needs one concrete detail to reach its full potential.,High,Missing Context,Conditional Pass,No,13
HK-003,Hook Evaluation,Write a YouTube hook about an airline mistake that cost millions.,"This one mistake cost an airline $200 million overnight, and the CEO never saw it coming.","Curiosity, Clarity, Retention potential, Click-through potential",9,9,7,9,34,"The specific dollar figure does a lot of work here. It makes the story feel real and high-stakes. Adding the CEO detail raises the human drama angle, which broadens the appeal.",The phrase 'never saw it coming' is a bit overused in YouTube hooks. It slightly undermines the otherwise clean delivery.,Swap out 'never saw it coming' for something that hints at the nature of the mistake. Even a vague tease like 'and the cause was something embarrassingly simple' would improve curiosity.,"One of the stronger hooks in this set. Minor phrasing tweak needed, but this would perform well in testing.",High,None,Conditional Pass,No,16
HK-004,Hook Evaluation,Write a YouTube hook about why airlines avoid a specific airport.,Why do airlines avoid this airport? The answer will change how you think about flying forever.,"Curiosity, Clarity, Retention potential, Click-through potential",6,5,7,8,26,The question format is easy to follow and sets up clear expectations for the video. Viewers know immediately what they are going to learn.,The payoff line is weak. 'Change how you think about flying forever' is a massive overclaim that feels hollow. It sounds like clickbait without delivering genuine intrigue.,"Drop the overclaim and replace it with a specific, unexpected detail. Something like: 'Why do airlines refuse to land at this airport? It has a perfectly good runway, and that is exactly the problem.' That kind of misdirection works far better.","Below average for this category. The question format is fine, but the hook needs a real payoff to compete with stronger options.",High,Incomplete Answer,Fail,No,16
HK-005,Hook Evaluation,Write a YouTube hook about a warship that was considered unsinkable.,The Navy thought this ship was unsinkable. It sank in four minutes.,"Curiosity, Clarity, Retention potential, Click-through potential",10,10,8,10,38,"This is close to a perfect hook. Two short sentences, a clear contrast, and a specific time reference that makes the outcome feel visceral. The brevity is the strength here.","Very minor point: naming the ship would make this even more searchable and add historical weight. Without a name, it could apply to any ship, which slightly reduces the sense of a real event.","Optionally add the ship's name if the video is about a specific vessel. Otherwise, leave it exactly as is. This hook does not need much.","Best hook in this set. Clean, confident, and immediately effective.",High,None,Pass,No,12
HK-006,Hook Evaluation,Write a YouTube hook about a famous bridge that almost collapsed during construction.,"Engineers said this bridge was perfectly safe. Three days later, workers started disappearing into the water below.","Curiosity, Clarity, Retention potential, Click-through potential",8,9,5,8,30,The pacing is well done. The contrast between the official reassurance and what actually happened creates strong tension. The image of workers disappearing into the water is vivid.,"The hook raises accuracy concerns. Framing it as workers disappearing into the water implies fatalities, which may not be factually grounded depending on the bridge being referenced.","If this is about a real event, verify the claim before publishing. Soften the language to avoid implying unverified deaths. 'Sections began breaking apart under their feet' is dramatic without the liability.","Engaging hook with a potential accuracy issue. Strong concept, but verify before use.",Medium,Hallucination,Conditional Pass,Yes,17
HK-007,Hook Evaluation,Write a YouTube hook about a lost submarine mission during the Cold War.,"In 1968, a US Navy submarine left port with 99 men on board. The Navy lost contact an hour later and never told the public why.","Curiosity, Clarity, Retention potential, Click-through potential",9,9,9,9,36,The specific year and crew count make this feel grounded in real history. The government secrecy angle adds a layer of conspiracy that increases viewer curiosity significantly.,"At two sentences, this runs slightly long for a short-form hook. It works better for long-form YouTube where the viewer has more patience.","For Shorts or TikTok, trim to: 'In 1968, a Navy submarine vanished with 99 men. The government never explained what happened.' Same impact, leaner delivery.",Excellent hook for long-form content. Needs tightening for short-form use.,High,None,Pass,No,26
HK-008,Hook Evaluation,Write a YouTube hook about a space mission that almost went wrong.,"NASA's most successful moon mission almost ended in disaster before it ever left the launchpad, and the reason why was something nobody predicted.","Curiosity, Clarity, Retention potential, Click-through potential",7,7,7,8,29,The contrast between 'most successful mission' and 'almost ended in disaster' is a reliable tension builder. The launchpad detail is specific enough to feel real.,The ending loses momentum. 'Something nobody predicted' is too vague to carry the hook over the finish line. It sounds like every other mystery hook on YouTube.,End with an actual tease of the cause. For example: 'and it came down to a single faulty wire.' Specificity closes the hook stronger than vague mystery.,"Middle-of-the-road hook. The setup is good, but the ending needs work before this competes at a high level.",High,Incomplete Answer,Conditional Pass,No,23
HK-009,Hook Evaluation,Write a YouTube hook about a train derailment caused by human error.,The engineer had been awake for 28 hours. The passengers had no idea. And the next stop was never going to happen.,"Curiosity, Clarity, Retention potential, Click-through potential",8,10,7,9,34,Excellent use of three-part structure. Each sentence escalates the tension. The passenger line is particularly effective because it shifts the perspective to the people at risk.,"The final line ('the next stop was never going to happen') is slightly ambiguous. It reads as dramatic but does not clearly signal whether this is a crash, a delay, or something else.",Make the final line more concrete. Try: 'And the train never made it.' Direct and final. The ambiguity in the current version slightly undercuts the tension the first two sentences build.,Strong hook with a great rhythmic structure. Small adjustment to the final line would make this excellent.,High,None,Conditional Pass,No,22
HK-010,Hook Evaluation,Write a YouTube hook about a hotel fire that revealed major safety violations.,This hotel passed its safety inspection two weeks before the fire. The inspector's report showed zero violations. Investigators later found 47.,"Curiosity, Clarity, Retention potential, Click-through potential",10,9,8,9,36,The number contrast (zero vs. 47) is excellent storytelling. It does not need vague language to create tension because the facts themselves carry the weight. Very clean structure.,This hook works better in text or as a title card than spoken aloud. Reading three sentences of statistics back-to-back can feel flat in a voiceover context.,"Consider reordering for spoken delivery: 'Investigators found 47 safety violations in this hotel. Two weeks earlier, an inspector had given it a perfect score.' Leading with the finding hits harder when read aloud.",Very effective for written formats. Needs slight restructuring for video voiceover use.,High,None,Pass,No,21
